* Measurement data measured by REW V5.20.8
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13 juin 2022 14:11:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: off_0x1400_1_3 juin 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
197.021484 87.777 21.6162
197.387695 87.839 17.9318
197.753906 87.851 14.8632
198.120117 87.826 12.3995
198.486328 87.774 10.5309
198.852539 87.705 9.2675
199.218750 87.632 8.6443
199.584961 87.577 8.6942
199.951172 87.572 9.3921
200.317383 87.648 10.6055
200.683594 87.828 12.0941
201.049805 88.113 13.5776
201.416016 88.487 14.8262
201.782227 88.923 15.7074
202.148438 89.400 16.1725
202.514648 89.897 16.2158
202.880859 90.401 15.8461
203.247070 90.896 15.0831
203.613281 91.371 13.9634
203.979492 91.815 12.5430
204.345703 92.222 10.8894
204.711914 92.588 9.0695
205.078125 92.913 7.1400
205.444336 93.197 5.1472
205.810547 93.441 3.1322
206.176758 93.645 1.1359
206.542969 93.812 -0.7987
206.909180 93.943 -2.6285
207.275391 94.043 -4.3134
207.641602 94.117 -5.8173
208.007812 94.171 -7.1078
208.374023 94.214 -8.1573
208.740234 94.255 -8.9501
209.106445 94.306 -9.4915
209.472656 94.377 -9.8145
209.838867 94.477 -9.9755
210.205078 94.611 -10.0402
210.571289 94.778 -10.0687
210.937500 94.980 -10.1121
211.303711 95.217 -10.2190
211.669922 95.488 -10.4471
212.036133 95.789 -10.8619
212.402344 96.114 -11.5247
212.768555 96.451 -12.4762
213.134766 96.789 -13.7302
213.500977 97.118 -15.2775
213.867188 97.431 -17.0979
214.233398 97.721 -19.1685
214.599609 97.981 -21.4658
214.965820 98.206 -23.9609
215.332031 98.390 -26.6146
215.698242 98.528 -29.3778
216.064453 98.619 -32.1962
216.430664 98.662 -35.0171
216.796875 98.659 -37.7942
217.163086 98.612 -40.4893
217.529297 98.523 -43.0706
217.895508 98.396 -45.5106
218.261719 98.233 -47.7850
218.627930 98.035 -49.8716
218.994141 97.804 -51.7477
219.360352 97.540 -53.3853
219.726562 97.245 -54.7426
220.092773 96.919 -55.7620
220.458984 96.568 -56.3718
220.825195 96.201 -56.4972
221.191406 95.833 -56.0724
221.557617 95.482 -55.0532
221.923828 95.171 -53.4259
222.290039 94.927 -51.2183
222.656250 94.778 -48.5236
223.022461 94.751 -45.5256
223.388672 94.859 -42.4978
223.754883 95.096 -39.7473
224.121094 95.434 -37.5225
224.487305 95.833 -35.9443
224.853516 96.257 -35.0029
225.219727 96.680 -34.6055
225.585938 97.087 -34.6393
225.952148 97.473 -35.0132
226.318359 97.838 -35.6692
226.684570 98.177 -36.5696
227.050781 98.486 -37.6742
227.416992 98.761 -38.9250
227.783203 98.999 -40.2455
228.149414 99.203 -41.5536
228.515625 99.382 -42.7799
228.881836 99.546 -43.8806
229.248047 99.708 -44.8441
229.614258 99.879 -45.6881
229.980469 100.071 -46.4563
230.346680 100.290 -47.2139
230.712891 100.541 -48.0425
231.079102 100.823 -49.0322
231.445312 101.130 -50.2671
231.811523 101.453 -51.8119
232.177734 101.779 -53.7050
232.543945 102.097 -55.9597
232.910156 102.395 -58.5706
233.276367 102.663 -61.5166
233.642578 102.891 -64.7632
234.008789 103.070 -68.2607
234.375000 103.193 -71.9448
234.741211 103.259 -75.7429
235.107422 103.268 -79.5845
235.473633 103.225 -83.4128
235.839844 103.135 -87.1924
236.206055 103.005 -90.9106
236.572266 102.839 -94.5703
236.938477 102.642 -98.1836
237.304688 102.416 -101.7632
237.670898 102.162 -105.3269
238.037109 101.885 -108.9053
238.403320 101.586 -112.5488
238.769531 101.266 -116.3335
239.135742 100.921 -120.3550
239.501953 100.543 -124.7222
239.868164 100.117 -129.5508
240.234375 99.629 -134.9634
240.600586 99.060 -141.1011
240.966797 98.389 -148.1421
241.333008 97.601 -156.3323
241.699219 96.686 -166.0317
242.065430 95.659 -177.7683
242.431641 94.594 167.7502
242.797852 93.672 149.8726
243.164062 93.209 128.8269
243.530273 93.481 106.6775
243.896484 94.439 86.3608
244.262695 95.772 69.3943
244.628906 97.201 55.6067
244.995117 98.577 44.2261
245.361328 99.847 34.5312
245.727539 100.998 25.9932
246.093750 102.034 18.2444
246.459961 102.962 11.0334
246.826172 103.787 4.1904
247.192383 104.512 -2.3909
247.558594 105.139 -8.7659
247.924805 105.667 -14.9463
248.291016 106.100 -20.9126
248.657227 106.442 -26.6243
249.023438 106.699 -32.0327
249.389648 106.881 -37.0911
249.755859 106.998 -41.7603
250.122070 107.062 -46.0151
250.488281 107.087 -49.8438
250.854492 107.084 -53.2483
251.220703 107.066 -56.2432
251.586914 107.043 -58.8547
251.953125 107.025 -61.1213
252.319336 107.019 -63.0889
252.685547 107.032 -64.8098
253.051758 107.065 -66.3345
253.417969 107.122 -67.7104
253.784180 107.203 -68.9778
254.150391 107.307 -70.1707
254.516602 107.433 -71.3201
254.882812 107.583 -72.4526
255.249023 107.753 -73.5940
255.615234 107.944 -74.7639
255.981445 108.153 -75.9778
256.347656 108.380 -77.2471
256.713867 108.625 -78.5820
257.080078 108.888 -79.9973
257.446289 109.170 -81.5134
257.812500 109.471 -83.1606
258.178711 109.792 -84.9744
258.544922 110.129 -86.9949
258.911133 110.480 -89.2627
259.277344 110.837 -91.8149
259.643555 111.195 -94.6819
260.009766 111.544 -97.8823
260.375977 111.875 -101.4209
260.742188 112.176 -105.2834
261.108398 112.439 -109.4390
261.474609 112.655 -113.8420
261.840820 112.819 -118.4392
262.207031 112.926 -123.1726
262.573242 112.976 -127.9846
262.939453 112.967 -132.8210
263.305664 112.901 -137.6272
263.671875 112.778 -142.3506
264.038086 112.602 -146.9363
264.404297 112.378 -151.3320
264.770508 112.112 -155.4900
265.136719 111.814 -159.3748
265.502930 111.493 -162.9700
265.869141 111.162 -166.2805
266.235352 110.828 -169.3354
266.601562 110.501 -172.1792
266.967773 110.184 -174.8674
267.333984 109.880 -177.4558
267.700195 109.585 -179.9939
268.066406 109.298 177.4783
268.432617 109.015 174.9319
268.798828 108.731 172.3469
269.165039 108.442 169.7117
269.531250 108.143 167.0190
269.897461 107.830 164.2676
270.263672 107.500 161.4595
270.629883 107.147 158.6018
270.996094 106.769 155.7065
271.362305 106.361 152.7866
271.728516 105.922 149.8545
272.094727 105.449 146.9177
272.460938 104.938 143.9788
272.827148 104.385 141.0359
273.193359 103.779 138.0916
273.559570 103.111 135.1628
273.925781 102.363 132.2932
274.291992 101.518 129.5706
274.658203 100.555 127.1448
275.024414 99.455 125.2554
275.390625 98.203 124.2642
275.756836 96.802 124.7019
276.123047 95.296 127.2925
276.489258 93.812 132.8384
276.855469 92.608 141.6733
277.221680 91.993 152.6445
277.587891 92.070 163.0859
277.954102 92.614 170.8289
278.320312 93.318 175.4558
278.686523 93.983 177.5708
279.052734 94.522 177.9358
279.418945 94.905 177.1692
279.785156 95.131 175.7239
280.151367 95.210 173.9297
280.517578 95.157 172.0283
280.883789 94.988 170.1980
281.250000 94.721 168.5659
281.616211 94.375 167.2195
281.982422 93.968 166.2119
282.348633 93.517 165.5605
282.714844 93.039 165.2451
283.081055 92.547 165.1978
283.447266 92.047 165.3076
283.813477 91.535 165.4351
284.179688 90.991 165.4460
284.545898 90.383 165.2480
284.912109 89.663 164.8206
285.278320 88.769 164.2461
285.644531 87.616 163.7542
286.010742 86.090 163.8386
286.376953 84.016 165.5913
286.743164 81.134 171.8372
287.109375 77.409 -168.8389
287.475586 75.987 -124.8562
287.841797 79.523 -92.5808
288.208008 83.088 -81.4236
288.574219 85.734 -77.9878
288.940430 87.716 -77.3826
289.306641 89.244 -77.9187
289.672852 90.450 -78.8845
290.039062 91.419 -79.9175
290.405273 92.211 -80.7937
290.771484 92.872 -81.3608
291.137695 93.448 -81.5212
291.503906 93.979 -81.2449
291.870117 94.504 -80.5779
292.236328 95.051 -79.6353
292.602539 95.640 -78.5725
292.968750 96.276 -77.5513
293.334961 96.959 -76.7163
293.701172 97.682 -76.1851
294.067383 98.433 -76.0491
294.433594 99.197 -76.3687
294.799805 99.958 -77.1675
295.166016 100.699 -78.4290
295.532227 101.408 -80.1035
295.898438 102.075 -82.1230
296.264648 102.697 -84.4148
296.630859 103.272 -86.9148
296.997070 103.801 -89.5701
297.363281 104.286 -92.3401
297.729492 104.729 -95.1912
298.095703 105.132 -98.0942
298.461914 105.499 -101.0247
298.828125 105.833 -103.9634
299.194336 106.136 -106.9004
299.560547 106.414 -109.8357
299.926758 106.667 -112.7786
