* Measurement data measured by REW V5.20.8
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13 juin 2022 14:16:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: off_0x1400_4_3 juin 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
243.164062 101.940 -115.2590
243.530273 102.352 -119.0594
243.896484 102.719 -123.0813
244.262695 103.038 -127.2899
244.628906 103.311 -131.6564
244.995117 103.535 -136.1570
245.361328 103.712 -140.7723
245.727539 103.840 -145.4871
246.093750 103.918 -150.2881
246.459961 103.942 -155.1614
246.826172 103.910 -160.0863
247.192383 103.817 -165.0308
247.558594 103.657 -169.9474
247.924805 103.429 -174.7729
248.291016 103.130 -179.4298
248.657227 102.764 176.1674
249.023438 102.336 172.1055
249.389648 101.856 168.4652
249.755859 101.337 165.3113
250.122070 100.797 162.6846
250.488281 100.254 160.5914
250.854492 99.729 158.9967
251.220703 99.237 157.8225
251.586914 98.791 156.9568
251.953125 98.395 156.2729
252.319336 98.047 155.6500
252.685547 97.740 154.9879
253.051758 97.463 154.2124
253.417969 97.206 153.2732
253.784180 96.955 152.1418
254.150391 96.698 150.8113
254.516602 96.424 149.2957
254.882812 96.122 147.6249
255.249023 95.787 145.8339
255.615234 95.414 143.9470
255.981445 95.000 141.9645
256.347656 94.538 139.8580
256.713867 94.015 137.5771
257.080078 93.407 135.0677
257.446289 92.680 132.2936
257.812500 91.780 129.2566
258.178711 90.631 126.0193
258.544922 89.116 122.7445
258.911133 87.030 119.8156
259.277344 83.943 118.3204
259.643555 78.683 123.1361
260.009766 70.141 -174.1135
260.375977 79.119 -111.2762
260.742188 84.834 -107.2435
261.108398 88.347 -110.1075
261.474609 90.819 -114.9659
261.840820 92.664 -120.7118
262.207031 94.065 -126.9163
262.573242 95.119 -133.3312
262.939453 95.881 -139.7579
263.305664 96.387 -146.0028
263.671875 96.663 -151.8594
264.038086 96.733 -157.0999
264.404297 96.626 -161.4730
264.770508 96.377 -164.7130
265.136719 96.042 -166.5664
265.502930 95.693 -166.8580
265.869141 95.424 -165.6025
266.235352 95.329 -163.1219
266.601562 95.473 -160.0516
266.967773 95.858 -157.1415
267.333984 96.431 -154.9723
267.700195 97.119 -153.8125
268.066406 97.857 -153.6726
268.432617 98.599 -154.4347
268.798828 99.321 -155.9529
269.165039 100.009 -158.0989
269.531250 100.653 -160.7704
269.897461 101.248 -163.8829
270.263672 101.791 -167.3604
270.629883 102.279 -171.1310
270.996094 102.710 -175.1285
271.362305 103.088 -179.2964
271.728516 103.414 176.4098
272.094727 103.691 172.0239
272.460938 103.921 167.5726
272.827148 104.107 163.0806
273.193359 104.249 158.5714
273.559570 104.351 154.0662
273.925781 104.418 149.5771
274.291992 104.451 145.1062
274.658203 104.455 140.6421
275.024414 104.429 136.1669
275.390625 104.373 131.6631
275.756836 104.283 127.1202
276.123047 104.154 122.5387
276.489258 103.982 117.9285
276.855469 103.763 113.3048
277.221680 103.493 108.6870
277.587891 103.165 104.0978
277.954102 102.774 99.5697
278.320312 102.312 95.1512
278.686523 101.771 90.9132
279.052734 101.144 86.9535
279.418945 100.426 83.3981
279.785156 99.616 80.4039
280.151367 98.717 78.1600
280.517578 97.739 76.8914
280.883789 96.705 76.8618
281.250000 95.656 78.3590
281.616211 94.665 81.6343
281.982422 93.839 86.7473
282.348633 93.305 93.3335
282.714844 93.153 100.4922
283.081055 93.379 107.0791
283.447266 93.883 112.2429
283.813477 94.537 115.6830
284.179688 95.236 117.5107
284.545898 95.915 118.0063
284.912109 96.538 117.4664
285.278320 97.087 116.1484
285.644531 97.553 114.2664
286.010742 97.935 112.0033
286.376953 98.234 109.5236
286.743164 98.454 106.9771
287.109375 98.608 104.4946
287.475586 98.709 102.1779
287.841797 98.775 100.0872
288.208008 98.824 98.2388
288.574219 98.872 96.6100
288.940430 98.930 95.1544
289.306641 99.004 93.8199
289.672852 99.098 92.5588
290.039062 99.215 91.3301
290.405273 99.357 90.0933
290.771484 99.524 88.8035
291.137695 99.718 87.4110
291.503906 99.934 85.8668
291.870117 100.168 84.1295
292.236328 100.415 82.1702
292.602539 100.665 79.9741
292.968750 100.914 77.5387
293.334961 101.153 74.8715
293.701172 101.378 71.9889
294.067383 101.584 68.9137
294.433594 101.767 65.6740
294.799805 101.924 62.3002
295.166016 102.055 58.8239
295.532227 102.159 55.2736
295.898438 102.237 51.6735
296.264648 102.290 48.0416
296.630859 102.319 44.3912
296.997070 102.325 40.7349
297.363281 102.306 37.0881
297.729492 102.263 33.4730
298.095703 102.198 29.9159
298.461914 102.114 26.4399
298.828125 102.014 23.0569
299.194336 101.906 19.7581
299.560547 101.790 16.5164
299.926758 101.668 13.2968
